SCCS.,name,OWC_name,OWC
1,Nama or Namaqua,Khoi,FX13
2,Kung,San,FX10
3,Thonga or Bathonga,Tsonga,FT06
4,Lozi,Lozi,FQ09
5,Mbundu or Ovimbundu,Ovimbundu,FP13
6,Suku,Suku,FO46
7,Bemba or Awemba,Bemba,FQ05
8,Nyakyusa,Nyakyusa and Ngonde,FN17
9,Hadza,Hadza,FN11
11,Kikuyu or Aikikuyu,Gikuyu,FL10
12,Ganda or Baganda,Ganda,FK07
13,Mbuti or Bambuti,Mbuti,FO04
14,Nkundo Mongo,Mongo,FO32
16,Tiv or Munshi,Tiv,FF57
17,Ibo or Igbo,Igbo,FF26
18,Fon or Dahomeans,Fon,FA18
19,Ashanti,Akan,FE12
20,Mende,Mende,FC07
21,Wolof,Wolof,MS30
22,Bambara or Bamana,Bambara,FA08
23,Tallensi,Tallensi,FE11
24,Songhai,Songhai,MS20
26,Hausa,Hausa,MS12
28,Azande or Niam-Niam,Azande,FO07
31,Shilluk,Shilluk,FJ23
32,Mao,Mao,MP19
33,Kaffa,Kaffa,MP14
34,Masai,Maasai,FL12
35,Konso,Konso,MP17
36,Somali,Somali,MO04
37,Amhara,Amhara,MP05
40,Teda,Teda,MS22
41,Tuareg,Tuareg,MS25
42,Riffians,Berbers of Morocco,MX03
43,Egyptians,Fellahin,MR13
45,Babylonians,Babylonians,MH07
46,Rwala Bedouin,Rwala Bedouin,MD04
47,Turks,Turks,MB01
48,Gheg Albanians,Albanians,EG01
49,Romans,Imperial Romans,EI09
50,Basques,Basques,EX08
51,Irish,Rural Irish,ER06
52,Lapps,Saami,EP04
57,Kurd,Kurds,MA11
58,Basseri,Basseri,MA10
60,Gond,Gond,AW32
61,Toda,Toda,AW60
62,Santal,Santal,AW42
63,Uttar Pradesh,Uttar Pradesh,AW19
64,Burusho,Burusho,AV07
66,Khalka Mongols,Mongolia,AH01
67,Lolo or Nosu,Yi,AE04
68,Lepcha or Rong,Lepcha,AK05
69,Garo,Garo,AR05
71,Burmese,Burmans,AP04
73,Vietnamese,Vietnamese,AM11
75,Khmer,Cambodians,AM04
76,Siamese/Central Thai,Central Thai,AO07
77,Semang,Semang,AN07
78,Nicobarese,Nicobarese,AZ07
79,Andamanese,Andamans,AZ02
80,Vedda,Vedda,AX05
81,Tanala,Tanala,FY08
82,Negri Sembilan,Malays,AN05
83,Javanese,Javanese,OE05
84,Balinese,Balinese,OF07
85,Iban/Sea Dayak,Iban,OC06
87,Toradja,Eastern Toraja,OG11
89,Alorese or Abui,Alorese,OF05
112,Ifugao,Ifugao,OA19
115,Manchu,Manchu,AG04
116,Koreans,Korea,AA01
117,Japanese,Okayama,AB43
118,Ainu,Ainu,AB06
122,Ingalik,Ingalik,NA08
123,Aleut,Aleut,NA06
123,Aleut,Aleut,NA06
124,Copper Eskimo,Copper Inuit,ND08
124,Copper Eskimo,Copper Inuit,ND08
125,Montagnais,Innu,NH06
125,Montagnais,Innu,NH06
126,Micmac,Mi'kmaq,NJ05
126,Micmac,Mi'kmaq,NJ05
127,Northern Saulteaux,Ojibwa,NG06
127,Northern Saulteaux,Ojibwa,NG06
129,Kaska,Kaska,ND12
129,Kaska,Kaska,ND12
131,Haida,Haida,NE09
131,Haida,Haida,NE09
132,Bellacoola,Nuxalk,NE06
132,Bellacoola,Nuxalk,NE06
134,Yurok,Yurok,NS31
134,Yurok,Yurok,NS31
135,Pomo,Pomo,NS18
135,Pomo,Pomo,NS18
136,Yokuts,Yokuts,NS29
136,Yokuts,Yokuts,NS29
137,Paiute,Northern Paiute,NR13
137,Paiute,Northern Paiute,NR13
138,Klamath,Klamath,NR10
138,Klamath,Klamath,NR10
139,Kutenai,Kutenai,NF08
139,Kutenai,Kutenai,NF08
140,Gros Ventre,Gros Ventre,NQ13
140,Gros Ventre,Gros Ventre,NQ13
142,Pawnee,Pawnee,NQ18
142,Pawnee,Pawnee,NQ18
143,Omaha,Omaha,NQ21
143,Omaha,Omaha,NQ21
145,Creek,Creek,NN11
145,Creek,Creek,NN11
147,Comanche,Comanche,NO06
147,Comanche,Comanche,NO06
148,Chiricahua Apache,Eastern Apache,NT08
148,Chiricahua Apache,Eastern Apache,NT08
149,Zuni,Zuni,NT23
149,Zuni,Zuni,NT23
150,Havasupai,Havasupai,NT14
150,Havasupai,Havasupai,NT14
151,Papago,O'odham,NU79
151,Papago,O'odham,NU79
152,Huichol,Huichol,NU19
152,Huichol,Huichol,NU19
153,Aztec,Aztecs,NU07
153,Aztec,Aztecs,NU07
156,Miskito,Miskito,SA15
157,Bribri,Talamancans,SA19
158,Cuna (Tule),Kuna,SB05
159,Goajiro,Goajiro,SC13
160,Haitians,Haitians,SV03
161,Callinago,Island Carib,ST13
162,Warrau,Warao,SS18
163,Yanomamo,Yanoama,SQ18
164,Barama Carib,Barama River Carib,SR09
165,Saramacca,Saramaka,SR15
166,Mundurucu,Mundurucu,SQ13
167,Cubeo,Tukano,SQ19
168,Cayapa,Chachi,SD06
169,Jivaro,Jivaro,SD09
171,Inca,Inka,SE13
172,Aymara,Aymara,SF05
173,Siriono,Sirionó,SF21
174,Nambicuara,Nambicuara,SP17
175,Trumai,Trumai,SP23
176,Timbira,Canela,SO08
177,Tupinamba,Tupinamba,SO09
180,Aweikoma,Xokleng,SM03
181,Cayua,Guaraní,SM04
183,Abipon,Abipón,SI04
184,Mapuche,Mapuche,SG04
185,Tehuelche or Patagon,Tehuelche,SH05
186,Yahgan,Yahgan,SH06
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
